Start to fetch stock prices history
1441_month: True, MACD 呈上升趨勢
1441_60m: True, MACD 呈上升趨勢
1441_30m: False, MACD 趨勢不明
1441_15m: False, MACD 趨勢不明
1442_week: False, MACD 趨勢不明
1442_day: True, MACD 呈上升趨勢
1442_month: True, MACD 呈上升趨勢
1442_60m: True, MACD 呈上升趨勢
1442_30m: False, MACD 趨勢不明
1442_15m: True, MACD 呈上升趨勢
1443_week: True, MACD 呈上升趨勢
1443_day: False, MACD 趨勢不明
1443_month: False, MACD 趨勢不明
1443_60m: False, MACD 趨勢不明
1443_30m: False, MACD 趨勢不明
1443_15m: False, MACD 趨勢不明
1445_week: True, MACD 呈上升趨勢
1445_day: True, MACD 呈上升趨勢
1445_month: False, MACD 趨勢不明
1445_60m: True, MACD 呈上升趨勢
1445_30m: True, MACD 呈上升趨勢
1445_15m: True, MACD 呈上升趨勢
1446_week: False, MACD 趨勢不明
1446_day: True, MACD 呈上升趨勢
1446_month: True, MACD 呈上升趨勢
1446_60m: True, MACD 呈上升趨勢
1446_30m: True, MACD 呈上升趨勢
1446_15m: True, MACD 呈上升趨勢
1449_week: False, MACD 趨勢不明
1449_day: True, MACD 呈上升趨勢
1449_month: True, MACD 呈上升趨勢
1449_60m: False, MACD 趨勢不明
1449_30m: False, MACD 趨勢不明
1449_15m: False, MACD 趨勢不明
1451_week: True, MACD 呈上升趨勢
1451_day: True, MACD 呈上升趨勢
1451_month: True, MACD 呈上升趨勢
1451_60m: True, MACD 呈上升趨勢
1451_30m: False, MACD 趨勢不明
1451_15m: False, MACD 趨勢不明
1453_week: False, MACD 趨勢不明
1453_day: False, MACD 趨勢不明
1453_month: False, MACD 趨勢不明
1453_60m: True, MACD 呈上升趨勢
1453_30m: False, MACD 趨勢不明
1453_15m: False, MACD 趨勢不明
1454_week: False, MACD 趨勢不明
1454_day: True, MACD 呈上升趨勢
1454_month: False, MACD 趨勢不明
1454_60m: False, MACD 趨勢不明
1454_30m: True, MACD 呈上升趨勢中回測
1454_15m: False, MACD 趨勢不明
1455_week: True, MACD 呈上升趨勢
1455_day: True, MACD 呈上升趨勢
1455_month: True, MACD 呈上升趨勢
1455_60m: False, MACD 趨勢不明
1455_30m: False, MACD 趨勢不明
1455_15m: True, MACD 呈上升趨勢
1456_week: False, MACD 趨勢不明
1456_day: False, MACD 趨勢不明
1456_month: True, MACD 呈上升趨勢
1456_60m: True, MACD 呈上升趨勢
1456_30m: True, MACD 呈上升趨勢
1456_15m: True, MACD 呈上升趨勢
1457_week: True, MACD 呈上升趨勢
1457_day: True, MACD 呈上升趨勢
1457_month: True, MACD 呈上升趨勢
1457_60m: True, MACD 呈上升趨勢
1457_30m: False, MACD 趨勢不明
1457_15m: False, MACD 趨勢不明
1459_week: True, MACD 呈上升趨勢
1459_day: True, MACD 呈上升趨勢
1459_month: True, MACD 呈上升趨勢
1459_60m: True, MACD 呈上升趨勢
1459_30m: True, MACD 呈上升趨勢
1459_15m: True, MACD 呈上升趨勢
1463_week: False, MACD 趨勢不明
1463_day: True, MACD 呈上升趨勢
1463_month: True, MACD 呈上升趨勢
1463_60m: True, MACD 呈上升趨勢
1463_30m: True, MACD 呈上升趨勢
1463_15m: True, MACD 呈上升趨勢
1464_week: True, MACD 呈上升趨勢
1464_day: True, MACD 呈上升趨勢
1464_month: False, MACD 趨勢不明
1464_60m: True, MACD 呈上升趨勢
1464_30m: False, MACD 趨勢不明
1464_15m: False, MACD 趨勢不明
1465_week: False, MACD 趨勢不明
1465_day: True, MACD 呈上升趨勢
1465_month: True, MACD 呈上升趨勢
1465_60m: True, MACD 呈上升趨勢
1465_30m: False, MACD 趨勢不明
1465_15m: False, MACD 趨勢不明
1466_week: True, MACD 呈上升趨勢
1466_day: True, MACD 呈上升趨勢
1466_month: True, MACD 呈上升趨勢
1466_60m: True, MACD 呈上升趨勢
1466_30m: False, MACD 趨勢不明
1466_15m: False, MACD 趨勢不明
1467_week: False, MACD 趨勢不明
1467_day: True, MACD 呈上升趨勢
1467_month: False, MACD 趨勢不明
1467_60m: True, MACD 呈上升趨勢
1467_30m: False, MACD 趨勢不明
1467_15m: False, MACD 趨勢不明
1470_week: False, MACD 趨勢不明
1470_day: True, MACD 呈上升趨勢
1470_month: True, MACD 呈上升趨勢
1470_60m: True, MACD 呈上升趨勢
1470_30m: True, MACD 呈上升趨勢
1470_15m: True, MACD 呈上升趨勢
1471_week: True, MACD 呈上升趨勢
1471_day: True, MACD 呈上升趨勢
1471_month: False, MACD 趨勢不明
1471_60m: False, MACD 趨勢不明
1471_30m: False, MACD 趨勢不明
1471_15m: False, MACD 趨勢不明
1472_week: False, MACD 趨勢不明
1472_day: True, MACD 呈上升趨勢
1472_month: True, MACD 呈上升趨勢
1472_60m: True, MACD 呈上升趨勢
1472_30m: False, MACD 趨勢不明
1472_15m: False, MACD 趨勢不明
1473_week: True, MACD 呈上升趨勢
1473_day: False, MACD 趨勢不明
1473_month: True, MACD 呈上升趨勢
1473_60m: True, MACD 呈上升趨勢
1473_30m: False, MACD 趨勢不明
1473_15m: False, MACD 趨勢不明
1474_week: False, MACD 趨勢不明
1474_day: True, MACD 呈上升趨勢
1474_month: True, MACD 呈上升趨勢
1474_60m: True, MACD 呈上升趨勢
1474_30m: False, MACD 趨勢不明
1474_15m: False, MACD 趨勢不明
1475_week: False, MACD 趨勢不明
1475_day: False, MACD 趨勢不明
1475_month: False, MACD 趨勢不明
1475_60m: False, MACD 趨勢不明
1475_30m: False, MACD 趨勢不明
1475_15m: True, MACD 呈上升趨勢
1503_week: False, MACD 趨勢不明
1503_day: True, MACD 呈上升趨勢
1503_month: False, MACD 趨勢不明
1503_60m: True, MACD 呈上升趨勢
